NUMERO_PIECE;DT_ECRITURE;FICHIER;LIBELLE;HT;TVA;TTC;EXERCICE_COMPTABLE;IDT_MODE_REG;IDT_STATUT;IDT_SS_CATEGORIE
01-12110000000000039100;30/11/2013;01-12110000000000039100.pdf;Frais Bancaires Mensuels;12,36;0,18;12,54;2013;7;1;30
02-12120000000000038257;31/12/2012;02-12120000000000038257.pdf;Frais Bancaires Mensuels;12,36;0,18;12,54;2013;7;1;30
03-13010000000000049096;31/01/2013;03-13010000000000049096.pdf;Frais Bancaires Mensuels;55,78;0,18;55,96;2013;7;1;30
04-13020000000000038049;28/02/2013;04-13020000000000038049.pdf;Frais Bancaires Mensuels;12,36;0,18;12,54;2013;7;1;30
05-13030000000000041228;29/03/2013;05-13030000000000041228.pdf;Frais Bancaires Mensuels;14,18;0,18;14,36;2013;7;1;30
06-13040000000000047972;30/04/2013;06-13040000000000047972.pdf;Frais Bancaires Mensuels;77,97;0,18;78,16;2013;7;1;30
07-13050000000000037419;31/05/2013;07-13050000000000037419.pdf;Frais Bancaires Mensuels;19,94;0,19;20,13;2013;7;1;30
08-13060000000000037522;28/06/2013;08-13060000000000037522.pdf;Frais Bancaires Mensuels;19,94;0,19;20,13;2013;7;1;30
09-13070000000000047349;31/07/2013;09-13070000000000047349.pdf;Frais Bancaires Mensuels;101,78;0,19;101,97;2013;7;1;30
10-13080000000000035940;30/08/2013;10-13080000000000035940.pdf;Frais Bancaires Mensuels;19,94;0,19;20,13;2013;7;1;30
11-13090000000000036370;30/09/2013;11-13090000000000036370.pdf;Frais Bancaires Mensuels;19,94;0,19;20,13;2013;7;1;30
12-10102013;10/10/2013;12-10102013.pdf;Frais Bancaires Mensuels;  ;  ;66,32;2013;7;1;30
15-102013;15/10/2013;15-102013.pdf;Frais Bancaires Mensuels;19,94;0,19;20,13;2013;7;1;30
13-13100000000000046206;31/10/2013;13-13100000000000046206.pdf;Frais Bancaires Mensuels;85,34;1,11;86,45;2013;7;1;30
14-13110000000000036253;14/11/2013;14-13110000000000036253.pdf;Frais Bancaires Mensuels;19,02;1,11;20,13;2013;7;1;30
15-13120000000000035074;31/12/2013;15-13120000000000035074.pdf;Frais Bancaires Mensuels;19,02;1,11;20,13;2013;7;1;30
16-14010000000000045675;31/01/2014;16-14010000000000045675.pdf;Frais Bancaires Mensuels;111,17;0,18;111,35;2014;7;1;30
17-14020000000000035690;28/02/2014;17-14020000000000035690.pdf;Frais Bancaires Mensuels;19,02;1,11;20,13;2014;7;1;30
18-14030000000000038423;31/03/2014;18-14030000000000038423.pdf;Frais Bancaires Mensuels;19,02;1,11;20,13;2014;7;1;30
19-14040000000000044569;30/04/2014;19-14040000000000044569.pdf;Frais Bancaires Mensuels;113,35;1,11;114,46;2014;7;1;30
20-14050000000000034479;30/05/2014;20-14050000000000034479.pdf;Frais Bancaires Mensuels;20,79;1,11;21,9;2014;7;1;30
